id,prod_name,price,country,source,author,review_txt,rating
1,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Nach 10 Jahren ""alte"" Alexas, gegen Neue eingetauscht. Wir sind absolute Alexa Fans, kaufen wir imner wieder und empfehlen sie weiter. Einrichtung nicht einmal 5 Minuten, ALLES TOP",5
2,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Eine Klasse weiterentwickelte Alexa zum top Preis,5
3,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Haben diese Alexa geholt und die Einrichtung war kinderleicht und mit diversen extra Features bei diesem Modell definitiv weiterzuempfehlen,5
4,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Insgesamt gefällt mir das Echo Show 10 super. Das Display hätte vllt etwas mehr Platz im frame bekommen können, der fällt tatsächlich etwas gross aus. Auch die weiße verschlussklappe wirkt meiner Mein...",5
5,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Super Produkt. Habe das Gerät für meine Tochter gekauft und sie ist super zufrieden. Macht was es soll. Hilft beim Einschlafen, macht Musik, erzählt gute Nacht Geschichten usw.",5
6,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,empty,5
7,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Bin sehr zufrieden kann ich nur weiterempfehlen habe weitere Produkte von Echo bzw Alexa Amazone gekauft,5
8,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,empty,5
9,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Benutze es für Smart Home,5
10,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,empty,5
11,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Schnelle Bereitstellung.,5
12,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"**Tolle Klangqualität und smarte Funktionen - Echo 5th Generation überzeugt!**Der Echo 5th Generation hat mich wirklich begeistert. Die Klangqualität ist exzellent, mit satten Bässen und klaren Höhe...",5
13,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Das Design ist wirklich ansprechend und fügt sich perfekt in mein Wohnambiente ein. Die graublaue Farbe wirkt modern und elegant, was dem Raum eine angenehme Atmosphäre verleiht.Die Funktionalität d...",5
14,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Super Klang und Mega hilfreich und einfach zu bedienen!,5
15,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Tolles Geburtstagsgeschenk für kleine Kinder!,5
16,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Sehr Unterhaltsam kennt einige Wörter nicht was zum Lachen verleitet,",5
17,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"bin sehr zufrieden mit Alexa, guter Sound und viele Funktionalitäten",5
18,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ein Multifunktionsgerät, das überzeugt. Sauberer Klang. Nichts zu bemängeln.",5
19,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Perfekt...Uhr auch nachts gut ablesbar...Dimmer funktioniert..sehr gut!,5
20,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Mir gefällt alles macht soweit alles so wie es sein sollte,5
21,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Einfache Inbetriebnahme, die Uhr-Anzeige ist sehr gut ablesbar und die Alexa-Funktionen sind top.",5
22,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Preis Leistung ist super 🙂 war ein tolles Angebot mit der Steckdose zusammen 👍,5
23,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,sehr klein mit viel möglichkeiten kann mann nur weiter empfehlen,5
24,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Einfach zu bedienen, funktioniert ohne Probleme. Moderne Uhr und auch schön zu sehen welcher Song gespielt wird!!!",5
25,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Optisch sehr ansprechend und modern und dann noch eine tolle Klangqualität, wir sind sehr zufrieden und empfehlen es zu 100% weiter. Es macht Spaß mit Alexa :)",5
26,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Funktioniert super, ist dezent und trotzdem sehr praktisch",5
27,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Cooler Helfer für den Alltag :)Es gibt viele Funktionen wie das Erstellen von Listen, Timer, Wecker etcGleichzeitig kann man auf dem handy die Erinnerung ansehen",5
28,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Mit Alexa bekam ich ein tolles Geschenk!Spielt Radio jeden Sender den ich möchte,laut leiser auf Zurufe.Wettervorhersage ..einfach prima.Die kleine Kugel steht bei mir im Wohnzimmer und passt zu E...",5
29,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Die Einstellung war einfach. Es funktioniert alles ohne Probleme. Ich bin sehr zufrieden mit dem Produkt.,5
30,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Es ist unsere erste Alexa im Haus,die ganze Familie ist total begeistert und hat ständig neue Aufgaben für die kleine Kugel die nebenbei auch noch einen sehr guten Radioklang hat",5
31,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Wirklich sehr leicht zu bedienen, super Produkt!!! Kann es nur empfehlen!!! Preis Leistungsverhältnis stimmt",5
32,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Gute verarbeitet und hat eine gute Klang QualitätMit Akku Wäre es noch besser !!",5
33,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Tolles Produkt sowie die anderen auch die wir haben können wir jedem empfehlen..,5
34,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Sehr gute produkt. Ich habe für mein Sohn gekauft. Er freut sich sehr. Kann mann nur weiter zu empfehlen.,5
